Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","104","Irlande","511","Population totale","2501","Population","2013","2013","1000 personnes","4627","","Donnée officielle"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","107.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","9.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle","2013","2013","kg","0.14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2013","2013","kg","3.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","1.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2531","Pommes de Terre","2013","2013","kg","94.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2535","Ignames","2013","2013","kg","0.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2542","Sucre Eq Brut","2013","2013","kg","27.6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","104","Irlande","645","Disponibilité alimentaire en quantité (kg/personne/an)","2543","Edulcorants Autres","2013","2013","kg","17.66","Fc","Donnée calculée"
